strain	accession	site	reads	flu	ct	date	strain_accession
A/Kilifi/103/2016	EPI_ISL_393940	Mtondia	"236,363"	"9,514"	27.77	11-Jan-16	A/Kilifi/MTO/103/2016_11-Jan-2016
A/Kilifi/104/2016	EPI_ISL_393941	Mtondia	"266,812"	"205,626"	22.8	03-Feb-16	A/Kilifi/MTO/104/2016_03-Feb-2016
A/Kilifi/105/2016	EPI_ISL_393942	Mtondia	"268,033"	"235,530"	34.38	01-Mar-16	A/Kilifi/MTO/105/2016_01-Mar-2016
A/Kilifi/106/2016	EPI_ISL_393943	Mtondia	"284,652"	"159,170"	26.63	14-Nov-16	A/Kilifi/MTO/106/2016_14-Nov-2016
A/Kilifi/107/2016	EPI_ISL_393944	Mtondia	"289,721"	"280,873"	22.37	01-Dec-16	A/Kilifi/MTO/107/2016_01-Dec-2016
A/Kilifi/108/2016	EPI_ISL_393945	Mtondia	"206,719"	"180,831"	30.18	02-Dec-16	A/Kilifi/MTO/108/2016_02-Dec-2016
A/Kilifi/109/2016	EPI_ISL_393946	Ngerenya	"190,576"	"15,729"	31.02	06-Jun-16	A/Kilifi/NGE/109/2016_06-Jun-2016
A/Kilifi/110/2016	EPI_ISL_393949	Ngerenya	"225,418"	"192,427"	26.1	06-Jun-16	A/Kilifi/NGE/110/2016_06-Jun-2016
A/Kilifi/111/2016	EPI_ISL_393951	Ngerenya	"196,416"	"154,224"	26.35	14-Nov-16	A/Kilifi/NGE/111/2016_14-Nov-2016
A/Kilifi/112/2016	EPI_ISL_393952	Ngerenya	"200,841"	"192,724"	23.9	29-Nov-16	A/Kilifi/NGE/112/2016_29-Nov-2016
A/Kilifi/114/2015	EPI_ISL_393955	Pingilikani	"175,812"	"171,555"	26.2	14-Dec-15	A/Kilifi/PIN/114/2015_14-Dec-2015
A/Kilifi/115/2016	EPI_ISL_393956	Pingilikani	"225,510"	"182,056"	26.08	27-Jan-16	A/Kilifi/PIN/115/2016_27-Jan-2016
A/Kilifi/116/2016	EPI_ISL_393960	Pingilikani	"275,921"	"169,739"	24.99	18-May-16	A/Kilifi/PIN/116/2016_18-May-2016
A/Kilifi/117/2015	EPI_ISL_393963	Sokoke	"181,937"	"166,814"	26.3	15-Dec-15	A/Kilifi/SOK/117/2015_15-Dec-2015
A/Kilifi/118/2016	EPI_ISL_393965	Sokoke	"231,390"	"214,827"	25.51	01-Dec-16	A/Kilifi/SOK/118/2016_01-Dec-2016
A/Kilifi/119/2016	EPI_ISL_393966	Sokoke	"203,938"	"198,183"	21.41	05-Dec-16	A/Kilifi/SOK/119/2016_05-Dec-2016
